Id,name,X,y
3,国共汉口会议旧址,114.2982640001,30.6169419999
3,英文楚报馆旧址,114.3027829998,30.5910340003
3,汉口总商会暨中华全国文艺界抗敌协会旧址,114.3080590003,30.6002649997
3,汉口国民政府外交部旧址,114.3099920004,30.5982450001
3,李书城旧居,114.3194030000,30.5467949999
3,既济水电公司宗关水厂旧址,114.2303709997,30.5851949999
3,徐源泉旧居,114.6049159996,30.8375730003
3,姚家山新四军第五师机关旧址,114.2031439996,31.2552479998
3,武汉长江大桥,114.3190630000,30.5480460000
3,八路军武汉办事处旧址,114.3161870000,30.6119110000
3,汉口新四军军部旧址,114.3176630000,30.6123550000
3,湖北省立图书馆旧址,114.3175160000,30.5465010000
3,武汉中共中央机关旧址,114.3049700000,30.5933950000
3,武汉中央军事政治学校旧址,114.3041160000,30.5439440000
3,中国共产党第五次全国代表大会旧址,114.3047910000,30.5539240000
3,中共中央领导人汉口住处旧址,114.3061070000,30.5888330000
3,汉口中共中央宣传部旧址,114.2990290000,30.5918950000
3,京汉铁路总工会旧址,114.3245230000,30.6302530000
3,起义门,114.3536220000,30.5648600000
3,汉口中华全国总工会旧址,114.3020990000,30.5966440000
3,汉口近代建筑群,114.3119890000,30.5984860000
3,詹天佑故居,114.3055390000,30.5894430000
3,武汉大学早期建筑,114.3721700000,30.5434340000
3,汉江关大楼,114.2943790000,30.5894610000
3,大智门火车站,114.3050840000,30.5975860000
3,武汉农民运动讲习所旧址,114.3067610000,30.5589100000
3,武汉国民政府旧址,114.2931890000,30.5815880000
3,八七会议旧址,114.3064190000,30.5922640000
3,武昌起义军政府旧址（武汉辛亥革命武昌起义军政府旧址,114.3536220000,30.5648600000
4,洪山摩崖题刻,114.3162000000,30.5810840000
